"","lemma","tag","Total"
"2","lemma="," postag=v---ne---",1
"3","lemma="," postag=v---p----",1
"4","lemma="," postag=v--anp---",1
"5","lemma="," postag=v--pna---",1
"6","lemma="," postag=v-sppefn-",1
"7","lemma="," postag=v-sppemn-",2
"8","lemma="," postag=v2pamp---",2
"9","lemma="," postag=v2s-i----",1
"10","lemma="," postag=v2sama---",1
"11","lemma="," postag=v3paia---",1
"12","lemma="," postag=v3sfim---",1
"13","lemma="," postag=v3siie---",1
"14","lemma=[]"," postag=v--------",2
"15","lemma=ῥᾳθυμέω"," postag=v-pppama-",1
"16","lemma=ῥᾳθυμέω"," postag=v-pppamn-",1
"17","lemma=ῥίπτω"," postag=v-pappmg-",1
"18","lemma=ῥίπτω"," postag=v-pppamn-",1
"19","lemma=ῥίπτω"," postag=v-prpema-",1
"20","lemma=ῥίπτω"," postag=v-prpenn-",1
"21","lemma=ῥίπτω"," postag=v-sapafn-",2
"22","lemma=ῥίπτω"," postag=v-sapamn-",1
"23","lemma=ῥίπτω"," postag=v-sfpamn-",1
"24","lemma=ῥίπτω"," postag=v-sppamn-",1
"25","lemma=ῥίπτω"," postag=v-sppena-",1
"26","lemma=ῥίπτω"," postag=v1saia---",1
"27","lemma=ῥίπτω"," postag=v1sasp---",1
"28","lemma=ῥίπτω"," postag=v1sfia---",1
"29","lemma=ῥίπτω"," postag=v1siia---",1
"30","lemma=ῥίπτω"," postag=v2paia---",1
"31","lemma=ῥίπτω"," postag=v2saia---",1
"32","lemma=ῥίπτω"," postag=v2sama---",1
"33","lemma=ῥίπτω"," postag=v2samm---",1
"34","lemma=ῥίπτω"," postag=v2sasa---",1
"35","lemma=ῥίπτω"," postag=v3paia---",2
"36","lemma=ῥίπτω"," postag=v3piia---",1
"37","lemma=ῥίπτω"," postag=v3pria---",1
"38","lemma=ῥίπτω"," postag=v3saia---",18
"39","lemma=ῥίπτω"," postag=v3saoa---",1
"40","lemma=ῥίπτω"," postag=v3sfia---",1
