"","lemma","tag","Total"
"2","lemma=abdico1"," postag=v-srppmb-",1
"3","lemma=abdo"," postag=v-prppmn-",1
"4","lemma=abdo"," postag=v3slsa---",1
"5","lemma=abduco"," postag=v--pnp---",1
"6","lemma=abduco"," postag=v-srppmb-",1
"7","lemma=abduco1"," postag=v3spia---",1
"8","lemma=abeo"," postag=v--pna---",3
"9","lemma=abeo"," postag=v3ppia---",1
"10","lemma=abeo"," postag=v3sria---",2
"11","lemma=abeo1"," postag=v--pna---",4
"12","lemma=abeo1"," postag=v1sria---",1
"13","lemma=abeo1"," postag=v2pria---",1
"14","lemma=abeo1"," postag=v3ppia---",1
"15","lemma=abeo1"," postag=v3pria---",1
"16","lemma=abeo1"," postag=v3slia---",1
"17","lemma=abeo1"," postag=v3sria---",10
"18","lemma=abeo1"," postag=v3srsa---",1
"19","lemma=aberro"," postag=v-sppafb-",1
"20","lemma=aberro1"," postag=v3sria---",1
"21","lemma=abhorreo1"," postag=v3spia---",1
"22","lemma=abhorreo1"," postag=v3spsa---",1
"23","lemma=abicio"," postag=v-srppma-",1
"24","lemma=abicio"," postag=v3stia---",1
"25","lemma=abicio1"," postag=v-srppmn-",1
"26","lemma=abicio1"," postag=v3sfia---",1
"27","lemma=abicio1"," postag=v3slsa---",1
"28","lemma=abigo1"," postag=v3sisa---",1
"29","lemma=abito1"," postag=v2spma---",1
"30","lemma=abjuro1"," postag=v3slia---",1
"31","lemma=abnuo"," postag=v1srsa---",1
"32","lemma=aboleo"," postag=v-prppna-",1
"33","lemma=aboleo"," postag=v___d_-g-",1
"34","lemma=aboleo"," postag=v3sria---",1
"35","lemma=abripio"," postag=v-srppmb_",1
"36","lemma=abrumpo"," postag=v-srppmg-",1
"37","lemma=abrumpo"," postag=v3sria---",1
"38","lemma=abscondo1"," postag=v-srppna-",1
"39","lemma=abscondo1"," postag=v2ppma---",1
"40","lemma=abscondo1"," postag=v3pria---",1
"41","lemma=abscondo1"," postag=v3sria---",1
"42","lemma=absisto"," postag=v2ppma---",1
"43","lemma=absisto1"," postag=v2ppma---",1
"44","lemma=absolvo"," postag=v1spsp---",1
"45","lemma=absolvo1"," postag=v1sfia---",1
"46","lemma=absolvo1"," postag=v1spsa---",1
"47","lemma=absorbeo1"," postag=v3sria---",1
"48","lemma=abstergeo1"," postag=v3spia---",2
"49","lemma=abstineo"," postag=v--rna---",1
"50","lemma=abstineo"," postag=v3sria---",1
"51","lemma=abstraho1"," postag=v3spia---",1
"52","lemma=abstraho1"," postag=v3spsa---",1
"53","lemma=abstrudo1"," postag=v-prppna-",1
"54","lemma=abstulo1"," postag=v3spia---",1
"55","lemma=absum"," postag=v-pppama_",1
"56","lemma=absum"," postag=v-spp-ma-",1
"57","lemma=absum"," postag=v-sppamdp",1
"58","lemma=absum"," postag=v2sfma---",1
"59","lemma=absum"," postag=v3pisa---",1
"60","lemma=absum"," postag=v3siia---",2
"61","lemma=absum"," postag=v3sisa---",1
"62","lemma=absum"," postag=v3sria---",2
"63","lemma=absum"," postag=v3stia---",1
"64","lemma=absum1"," postag=v--pna---",3
"65","lemma=absum1"," postag=v-sppafd-",1
"66","lemma=absum1"," postag=v-sppamd-",1
