"","lemma","Total","one_sg","pctA","two_sg","pctB","three_sg","pctC","one_pl","pctD","two_pl","pctE","three_pl","pctF","other","pct_other"
"6","abeo1",20,1,0.05,0,0,12,0.6,0,0,1,0.05,2,0.1,1,1
"30","absum",11,0,0,1,0.0909090909090909,6,0.545454545454545,0,0,0,0,1,0.0909090909090909,0,0
"31","absum1",10,0,0,0,0,4,0.4,0,0,0,0,1,0.1,1,1
"39","accedo1",14,1,0.0714285714285714,1,0.0714285714285714,5,0.357142857142857,1,0.0714285714285714,0,0,2,0.142857142857143,0,0
"41","accendo2",10,0,0,0,0,5,0.5,0,0,0,0,1,0.1,1,1
"46","accipio",25,3,0.12,2,0.08,7,0.28,1,0.04,1,0.04,4,0.16,0,0
"47","accipio1",58,7,0.120689655172414,6,0.103448275862069,23,0.396551724137931,1,0.0172413793103448,1,0.0172413793103448,7,0.120689655172414,1,1
"65","adduco1",14,2,0.142857142857143,0,0,2,0.142857142857143,0,0,0,0,0,0,0,0
"67","adeo1",18,1,0.0555555555555556,0,0,8,0.444444444444444,0,0,0,0,3,0.166666666666667,1,1
"88","administro",10,1,0.1,0,0,4,0.4,0,0,0,0,0,0,1,1
"106","adoro1",26,3,0.115384615384615,2,0.0769230769230769,1,0.0384615384615385,0,0,1,0.0384615384615385,17,0.653846153846154,0,0
"126","adverto",10,0,0,0,0,1,0.1,0,0,0,0,0,0,1,1
"141","affero1",39,2,0.0512820512820513,1,0.0256410256410256,8,0.205128205128205,0,0,0,0,5,0.128205128205128,0,0
"160","agito1",18,1,0.0555555555555556,0,0,3,0.166666666666667,1,0.0555555555555556,0,0,3,0.166666666666667,0,0
"163","ago",37,4,0.108108108108108,6,0.162162162162162,9,0.243243243243243,0,0,0,0,3,0.0810810810810811,0,0
"164","ago1",55,7,0.127272727272727,9,0.163636363636364,14,0.254545454545455,2,0.0363636363636364,2,0.0363636363636364,8,0.145454545454545,0,0
"165","aio",13,0,0,0,0,13,1,0,0,0,0,0,0,0,0
"166","aio1",27,0,0,0,0,21,0.777777777777778,0,0,0,0,6,0.222222222222222,0,0
"188","amitto1",10,0,0,0,0,2,0.2,1,0.1,1,0.1,0,0,1,1
"189","amo",13,0,0,0,0,0,0,0,0,0,0,3,0.230769230769231,1,1
"190","amo1",26,2,0.0769230769230769,1,0.0384615384615385,10,0.384615384615385,0,0,0,0,0,0,1,1
"209","aperio1",40,2,0.05,0,0,19,0.475,0,0,1,0.025,1,0.025,1,1
"215","appello",14,0,0,0,0,5,0.357142857142857,0,0,0,0,1,0.0714285714285714,1,1
"216","appello1",15,1,0.0666666666666667,0,0,9,0.6,0,0,0,0,1,0.0666666666666667,0,0
"233","ardeo1",17,0,0,0,0,1,0.0588235294117647,0,0,0,0,2,0.117647058823529,0,0
"245","ascendo1",16,0,0,2,0.125,5,0.3125,0,0,1,0.0625,2,0.125,1,1
"293","audeo1",10,1,0.1,1,0.1,1,0.1,0,0,0,0,1,0.1,0,0
"295","audio1",69,33,0.478260869565217,2,0.0289855072463768,16,0.231884057971014,1,0.0144927536231884,3,0.0434782608695652,2,0.0289855072463768,0,0
"316","bibo1",13,0,0,1,0.0769230769230769,3,0.230769230769231,1,0.0769230769230769,0,0,3,0.230769230769231,0,0
"320","cado1",32,3,0.09375,1,0.03125,10,0.3125,0,0,1,0.03125,15,0.46875,0,0
"333","cano1",19,0,0,2,0.105263157894737,10,0.526315789473684,0,0,0,0,2,0.105263157894737,0,0
"334","canto1",14,0,0,0,0,5,0.357142857142857,0,0,0,0,4,0.285714285714286,1,1
"339","capio1",42,1,0.0238095238095238,1,0.0238095238095238,12,0.285714285714286,0,0,1,0.0238095238095238,7,0.166666666666667,0,0
"349","caveo1",10,0,0,6,0.6,1,0.1,0,0,1,0.1,0,0,0,0
"351","cedo1",24,2,0.0833333333333333,2,0.0833333333333333,2,0.0833333333333333,1,0.0416666666666667,0,0,6,0.25,1,1
"357","ceno1",11,2,0.181818181818182,1,0.0909090909090909,1,0.0909090909090909,2,0.181818181818182,0,0,1,0.0909090909090909,0,0
"358","censeo1",17,4,0.235294117647059,0,0,7,0.411764705882353,0,0,0,0,1,0.0588235294117647,0,0
"359","cerno1",19,1,0.0526315789473684,3,0.157894736842105,10,0.526315789473684,0,0,0,0,3,0.157894736842105,1,1
"360","certo2",10,0,0,0,0,2,0.2,1,0.1,0,0,5,0.5,1,1
"373","circumfero1",11,0,0,0,0,5,0.454545454545455,0,0,0,0,0,0,1,1
"384","clamo1",20,1,0.05,1,0.05,10,0.5,1,0.05,0,0,5,0.25,0,0
"386","claudo1",20,0,0,0,0,6,0.3,0,0,0,0,3,0.15,0,0
"399","coepio",21,1,0.0476190476190476,0,0,13,0.619047619047619,1,0.0476190476190476,0,0,4,0.19047619047619,0,0
"400","coepio1",65,9,0.138461538461538,1,0.0153846153846154,31,0.476923076923077,3,0.0461538461538462,0,0,17,0.261538461538462,0,0
"405","cogito1",11,0,0,4,0.363636363636364,2,0.181818181818182,0,0,0,0,3,0.272727272727273,0,0
"407","cognosco",12,1,0.0833333333333333,1,0.0833333333333333,2,0.166666666666667,0,0,0,0,0,0,1,1
"408","cognosco1",27,3,0.111111111111111,3,0.111111111111111,5,0.185185185185185,0,0,0,0,5,0.185185185185185,0,0
"409","cogo",11,3,0.272727272727273,0,0,6,0.545454545454545,0,0,0,0,1,0.0909090909090909,0,0
"410","cogo1",15,5,0.333333333333333,2,0.133333333333333,3,0.2,1,0.0666666666666667,0,0,0,0,1,1
"423","colo1",11,0,0,0,0,4,0.363636363636364,0,0,0,0,1,0.0909090909090909,1,1
"508","confero",11,0,0,0,0,4,0.363636363636364,0,0,0,0,1,0.0909090909090909,1,1
"539","conicio1",12,1,0.0833333333333333,1,0.0833333333333333,4,0.333333333333333,2,0.166666666666667,0,0,1,0.0833333333333333,1,1
"551","conor",10,1,0.1,1,0.1,0,0,0,0,0,0,0,0,1,1
"568","conscribo1",14,0,0,0,0,2,0.142857142857143,0,0,0,0,0,0,0,0
"593","constituo",13,0,0,0,0,3,0.230769230769231,0,0,0,0,0,0,1,1
"596","consto1",10,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"601","consulo1",12,0,0,2,0.166666666666667,0,0,0,0,2,0.166666666666667,1,0.0833333333333333,0,0
"613","contendo1",10,0,0,2,0.2,3,0.3,0,0,0,0,3,0.3,0,0
"619","contineo",17,0,0,0,0,6,0.352941176470588,0,0,0,0,2,0.117647058823529,1,1
"620","contineo1",14,1,0.0714285714285714,1,0.0714285714285714,1,0.0714285714285714,1,0.0714285714285714,0,0,1,0.0714285714285714,0,0
"621","contingo1",16,0,0,0,0,10,0.625,0,0,0,0,1,0.0625,0,0
"633","convenio1",11,0,0,0,0,2,0.181818181818182,0,0,0,0,5,0.454545454545455,1,1
"635","converto1",13,0,0,1,0.0769230769230769,5,0.384615384615385,0,0,1,0.0769230769230769,0,0,0,0
"653","credo",18,2,0.111111111111111,1,0.0555555555555556,2,0.111111111111111,1,0.0555555555555556,0,0,2,0.111111111111111,1,1
"654","credo1",44,6,0.136363636363636,7,0.159090909090909,9,0.204545454545455,1,0.0227272727272727,6,0.136363636363636,6,0.136363636363636,0,0
"660","cresco1",15,2,0.133333333333333,0,0,8,0.533333333333333,0,0,0,0,2,0.133333333333333,0,0
"673","cupio1",14,3,0.214285714285714,3,0.214285714285714,3,0.214285714285714,0,0,0,0,0,0,0,0
"675","curo1",19,9,0.473684210526316,0,0,4,0.210526315789474,0,0,0,0,1,0.0526315789473684,0,0
