"";"lemma";"Total";"one_sg";"pctA";"two_sg";"pctB";"three_sg";"pctC";"one_pl";"pctD";"two_pl";"pctE";"three_pl";"pctF"
"1";"abdico1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2";"abdo";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"3";"abduco";2;0;0;0;0;0;0;0;0;0;0;0;0
"4";"abduco1";1;0;0;0;0;1;1;0;0;0;0;0;0
"5";"abeo";6;0;0;0;0;2;0,333333333333333;0;0;0;0;1;0,166666666666667
"6";"abeo1";20;1;0,05;0;0;12;0,6;0;0;1;0,05;2;0,1
"7";"aberro";1;0;0;0;0;0;0;0;0;0;0;0;0
"8";"aberro1";1;0;0;0;0;1;1;0;0;0;0;0;0
"9";"abhorreo1";2;0;0;0;0;2;1;0;0;0;0;0;0
"10";"abicio";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"11";"abicio1";3;0;0;0;0;2;0,666666666666667;0;0;0;0;0;0
"12";"abigo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"13";"abito1";1;0;0;1;1;0;0;0;0;0;0;0;0
"14";"abjuro1";1;0;0;0;0;1;1;0;0;0;0;0;0
"15";"abnuo";1;1;1;0;0;0;0;0;0;0;0;0;0
"16";"aboleo";3;0;0;0;0;1;0,333333333333333;0;0;0;0;0;0
"17";"abripio";1;0;0;0;0;0;0;0;0;0;0;0;0
"18";"abrumpo";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"19";"abscondo1";4;0;0;0;0;1;0,25;0;0;1;0,25;1;0,25
"20";"absisto";1;0;0;0;0;0;0;0;0;1;1;0;0
"21";"absisto1";1;0;0;0;0;0;0;0;0;1;1;0;0
"22";"absolvo";1;1;1;0;0;0;0;0;0;0;0;0;0
"23";"absolvo1";2;2;1;0;0;0;0;0;0;0;0;0;0
"24";"absorbeo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"25";"abstergeo1";2;0;0;0;0;2;1;0;0;0;0;0;0
"26";"abstineo";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"27";"abstraho1";2;0;0;0;0;2;1;0;0;0;0;0;0
"28";"abstrudo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"29";"abstulo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"30";"absum";11;0;0;1;0,0909090909090909;6;0,545454545454545;0;0;0;0;1;0,0909090909090909
"31";"absum1";10;0;0;0;0;4;0,4;0;0;0;0;1;0,1
"32";"absumo";1;0;0;0;0;0;0;0;0;0;0;0;0
"33";"absumo1";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"34";"abundo";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"35";"abundo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"36";"abutor";1;0;0;1;1;0;0;0;0;0;0;0;0
"37";"abutor1";1;0;0;0;0;0;0;0;0;0;0;0;0
"38";"accedo";5;1;0,2;0;0;4;0,8;0;0;0;0;0;0
"39";"accedo1";14;1;0,0714285714285714;1;0,0714285714285714;5;0,357142857142857;1;0,0714285714285714;0;0;2;0,142857142857143
"40";"accelero1";1;0;0;0;0;0;0;0;0;0;0;0;0
"41";"accendo2";10;0;0;0;0;5;0,5;0;0;0;0;1;0,1
"42";"accido1";4;0;0;0;0;2;0,5;0;0;0;0;1;0,25
"43";"accido2";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"44";"accingo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"45";"accio";3;0;0;0;0;0;0;0;0;0;0;0;0
"46";"accipio";25;3;0,12;2;0,08;7;0,28;1;0,04;1;0,04;4;0,16
"47";"accipio1";58;7;0,120689655172414;6;0,103448275862069;23;0,396551724137931;1;0,0172413793103448;1;0,0172413793103448;7;0,120689655172414
"48";"accommodo";2;0;0;0;0;2;1;0;0;0;0;0;0
"49";"accubo";1;0;0;0;0;0;0;0;0;0;0;0;0
"50";"accumbo1";2;0;0;0;0;2;1;0;0;0;0;0;0
"51";"accurro1";1;0;0;0;0;1;1;0;0;0;0;0;0
"52";"accuso1";3;0;0;0;0;2;0,666666666666667;0;0;0;0;0;0
"53";"acquiro";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"54";"acuo";1;0;0;0;0;1;1;0;0;0;0;0;0
"55";"ad-lego2";1;0;0;0;0;1;1;0;0;0;0;0;0
"56";"ad-signo";2;2;1;0;0;0;0;0;0;0;0;0;0
"57";"adaequo";1;0;0;0;0;1;1;0;0;0;0;0;0
"58";"adcedo";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"59";"adcognosco";1;1;1;0;0;0;0;0;0;0;0;0;0
"60";"addico";1;0;0;0;0;1;1;0;0;0;0;0;0
"61";"addico1";1;0;0;0;0;0;0;0;0;0;0;0;0
"62";"addo";6;0;0;0;0;6;1;0;0;0;0;0;0
"63";"addo1";7;0;0;1;0,142857142857143;3;0,428571428571429;0;0;0;0;0;0
"64";"adduco";1;0;0;0;0;0;0;0;0;0;0;0;0
"65";"adduco1";14;2;0,142857142857143;0;0;2;0,142857142857143;0;0;0;0;0;0
"66";"adedo";1;0;0;0;0;0;0;0;0;0;0;0;0
"67";"adeo1";18;1;0,0555555555555556;0;0;8;0,444444444444444;0;0;0;0;3;0,166666666666667
"68";"adhaereo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"69";"adhibeo";1;0;0;0;0;0;0;0;0;0;0;0;0
"70";"adhibeo1";2;0;0;0;0;0;0;0;0;1;0,5;0;0
"71";"adicio";1;0;0;0;0;1;1;0;0;0;0;0;0
"72";"adicio1";3;0;0;0;0;0;0;0;0;0;0;1;0,333333333333333
"73";"adigo";1;0;0;0;0;1;1;0;0;0;0;0;0
"74";"adigo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"75";"adimo";5;0;0;0;0;2;0,4;0;0;0;0;1;0,2
"76";"adimo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"77";"adipiscor";7;0;0;0;0;1;0,142857142857143;0;0;0;0;0;0
"78";"adipiscor1";6;0;0;0;0;0;0;0;0;0;0;0;0
"79";"adiuto1";1;0;0;1;1;0;0;0;0;0;0;0;0
"80";"adjicio";4;1;0,25;0;0;2;0,5;0;0;0;0;0;0
"81";"adjicio1";7;0;0;0;0;6;0,857142857142857;0;0;0;0;0;0
"82";"adjudico";1;0;0;0;0;1;1;0;0;0;0;0;0
"83";"adjungo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"84";"adjuro1";1;0;0;0;0;1;1;0;0;0;0;0;0
"85";"adjuvo";4;0;0;0;0;2;0,5;0;0;0;0;0;0
"86";"adjuvo1";2;0;0;0;0;1;0,5;0;0;0;0;1;0,5
"87";"admetior";1;0;0;0;0;0;0;0;0;0;0;0;0
"88";"administro";10;1;0,1;0;0;4;0,4;0;0;0;0;0;0
"89";"admiror";2;0;0;0;0;0;0;0;0;0;0;0;0
"90";"admiror1";2;0;0;0;0;0;0;0;0;0;0;0;0
"91";"admitto";3;0;0;0;0;1;0,333333333333333;0;0;0;0;0;0
