,lemma,total,1SG,1SG,1PL,1PL,2SG,2SG,2PL,2PL,3SG,3SG,3PL,3PL,other,other
2593,sum1,2091,97,0.0464,27,0.0129,86,0.0411,9,0.0043,1231,0.588713534194165,388,0.1856,253,0.121
833,dico2,320,32,0.1,5,0.0156,15,0.0469,3,0.0094,116,0.3625,32,0.1,117,0.3656
1266,habeo1,305,28,0.0918,18,0.059,19,0.0623,7,0.023,118,0.386885245901639,48,0.1574,67,0.2197
1162,facio1,251,19,0.0757,4,0.0159,12,0.0478,5,0.0199,65,0.258964143426295,30,0.1195,116,0.4622
2782,video1,247,77,0.3117,7,0.0283,32,0.1296,10,0.0405,57,0.230769230769231,31,0.1255,33,0.1336
2061,possum1,179,31,0.1732,1,0.0056,27,0.1508,3,0.0168,72,0.402234636871508,24,0.1341,21,0.1173
904,do1,137,24,0.1752,7,0.0511,8,0.0584,3,0.0219,36,0.262773722627737,14,0.1022,45,0.3285
2755,venio1,127,19,0.1496,2,0.0157,17,0.1339,1,0.0079,44,0.346456692913386,22,0.1732,22,0.1732
2807,volo1,108,14,0.1296,0,0,19,0.1759,4,0.037,42,0.388888888888889,21,0.1944,8,0.0741
1440,inquam1,94,4,0.0426,0,0,1,0.0106,0,0,89,0.946808510638298,0,0,0,0
1161,facio,93,14,0.1505,1,0.0108,5,0.0538,1,0.0108,24,0.258064516129032,3,0.0323,45,0.4839
1439,inquam,72,0,0,0,0,1,0.0139,0,0,71,0.986111111111111,0,0,0,0
903,do,71,11,0.1549,0,0,2,0.0282,0,0,25,0.352112676056338,5,0.0704,28,0.3944
295,audio1,69,33,0.4783,1,0.0145,2,0.029,3,0.0435,16,0.231884057971014,2,0.029,12,0.1739
400,coepio1,65,9,0.1385,3,0.0462,1,0.0154,0,0,31,0.476923076923077,17,0.2615,4,0.0615
1559,jubeo1,65,9,0.1385,3,0.0462,1,0.0154,0,0,41,0.630769230769231,3,0.0462,8,0.1231
1704,mitto1,65,7,0.1077,1,0.0154,6,0.0923,0,0,23,0.353846153846154,7,0.1077,21,0.3231
2060,possum,62,3,0.0484,0,0,5,0.0806,0,0,30,0.483870967741935,11,0.1774,13,0.2097
2439,scio1,60,19,0.3167,4,0.0667,9,0.15,8,0.1333,12,0.2,3,0.05,5,0.0833
2230,puto1,59,17,0.2881,2,0.0339,15,0.2542,5,0.0847,11,0.186440677966102,7,0.1186,2,0.0339
